"Pearce Ln near FM 973","Austin, TX","30.177479","-97.640076","on"
"Turnersville Rd @ Maha Creek","Austin, TX","30.076216","-97.737938","on"
"Blocker Ln @ Tributary to Dry Creek","Austin, TX","30.11253","-97.671249","on"
"Rodriguez Rd @ Dry Creek","Austin, TX","30.118946","-97.710732","on"
"Doyle-Overton Rd @ Eilers Rd","Austin, TX","30.078949","-97.640572","on"
"Peterson Rd @ Tributary to Maha Creek","Austin, TX","30.105795","-97.627808","on"
"Navarro Creek Rd @ Navarro Creek","Austin, TX","30.167467","-97.592514","on"
"Plover Place @ Maha Creek","Austin, TX","30.127525","-97.617798","on"
"Wright Rd @ Tributary to Maha Creek","Austin, TX","30.080608","-97.754387","on"
"Colton Rd @ Cottonmouth Creek","Austin, TX","30.173513","-97.689194","on"
"Williamson Rd NW of Elm Grove Rd","Austin, TX","30.048407","-97.723503","on"
"Williamson Rd SE of Elm Grove Rd","Austin, TX","30.027739","-97.701485","on"
"Laws Rd between US 183 and Evelyn Rd","Austin, TX","30.062107","-97.681305","on"
"Tom Sassman Rd @ Maha Creek","Austin, TX","30.084892","-97.701904","on"
"Doyle Rd @ Tributary to Maha Creek","Austin, TX","30.094563","-97.620811","on"
